tecnica_norm,n_fichas,n_mujeres,n_hombres,edad_prom,estados,ceremonia_principal,n_ceremonia_principal,ceremonias_resumen,prenda_principal,n_prenda_principal,prendas_resumen,n_aprendio_madre,n_aprendio_abuela,n_aprendio_tia,n_aprendio_hermana,n_aprendio_cunada,n_aprendio_instructor,n_aprendio_otro,n_aprendio_padre,n_no_ha_ensenado,n_ens_hijas,n_ens_nietos,n_ens_sobrinos,n_ens_pareja,n_ens_estudiantes,n_ens_otra,n_ens_hijos,n_man_mano,n_man_pedal,n_man_telar,n_man_mixta,n_man_otra,n_man_tejido,n_man_telar_pedal,n_tenido_plantas,n_tenido_minerales,n_tenido_animales,n_tenido_otro,Tecnica,count,Materiales_concat_clean,uuid
Afelpado,1,0,1,59.0,Oaxaca,,,,Mural,1.0,Mural (1),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Afelpado,1.0,"lana, algodón, ixtle, lino, seda",472df6fd-b84f-598f-b4b8-12f0a9b7efbc
Animalitos de lana,1,1,0,35.0,Chiapas,,,,Jugueterías tradicionales,1.0,Jugueterías tradicionales (1),0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Animalitos de lana,1.0,lana de borrego,7d256b5c-50aa-5091-a129-7069af4732fc
Anudado,1,1,0,67.0,México,Eventos funerarios y sociales,1.0,Eventos funerarios y sociales (1),Rebozo de algodon,1.0,Rebozo de algodon (1); Y en decilado (1),1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Anudado,1.0,"paño de rebozo de algodón trabajo sobre los hilos que deja hotro artesano que es el que elaboró el paño, y aparte utilizo una abuja, para sesatar, si me equivoco, utilizo una tela normal para cubrir mi rebozo, también utilizo una plancha de hierro para sostener mi rebozo, también utilizo un blanco de madera para ai, colocar dobladito mi rebozo que yo compro con los artesanos del centro de tenancingo de degollado",935920d3-789b-5737-a324-4d45ab87e74d
Anudado o empuntado,1,0,1,19.0,Chiapas,Se utiliza para decorar las casas,1.0,Se utiliza para decorar las casas (1),"Se utiliza para decorar la casa, con un diseño tradicional y colores tradicionales",1.0,"Se utiliza para decorar la casa, con un diseño tradicional y colores tradicionales (1)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Anudado o empuntado,1.0,"hilo algodón, lana de australia, telar, unas tijera, y maso",b5e39798-cff0-58dd-b7f1-6efeaaa03738
Apliqué,1,1,0,37.0,Chihuahua,Se utiliza a diario,1.0,Se utiliza a diario (1); Se utillza a diario (1),Traje tradicional de hombre,1.0,Traje tradicional de hombre (1); Traje tradicional de mijere8 (1),1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Apliqué,1.0,aplicación de tela industrializada,51695521-60bc-539a-80a9-4d1bb1ed35cf
Baimkal,1,1,0,56.0,Durango,"Se usan las prendas siempre, no hay ceremonia especial",1.0,"Se usan las prendas siempre, no hay ceremonia especial (1)",Cotún o blusa,1.0,Cotún o blusa (1); Delantal (1); Falda (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,Baimkal,1.0,solo las planta,8a09580c-bc30-52d4-8b2c-3ce8b4d037f3
Batzikop tzotsil,1,1,0,1984.0,Chiapas,Ropa tradicionales en municipio,1.0,Ropa tradicionales en municipio (1),Huipiles tradicionales cuando tiene cargo,1.0,Huipiles tradicionales cuando tiene cargo (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Batzikop tzotsil,1.0,,dc7bfebe-a2bb-543b-a708-480b89239325
Bordado a mano con aguja chica,1,1,0,52.0,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bordado a mano con aguja chica,1.0,,1d22fea9-8cca-5b63-81d5-3c60018c9763
Bordado a mano con puntada lineal continua,1,1,0,85.0,Oaxaca,En eventos especiales,1.0,En eventos especiales (1),Blusa tradicional,1.0,Blusa tradicional (1); Blusas estilizadas (1); Camisas estilizadas (1); Camisas tradicionales (1); Centro de mesa (1); Guayaberas (1); Manteles (1); Rebozos (1); Vestido tradicional (1); Vestidos estilizados (1),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bordado a mano con puntada lineal continua,1.0,,54f8452f-5781-5858-8b96-2ddf7652a522
Bordado camisas de lavor,1,1,0,40.0,Puebla,Boda,1.0,Boda (1); Danzas (1); Ferias (1); Fiesta (1),De uso diario,1.0,De uso diario (1); Para boda (1); Para fiesta (1),1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bordado camisas de lavor,1.0,cuadrie y manda y hilo de estambre aguja,93f9b115-4259-5a88-9e31-c714da7db3f4
