tecnica_norm,n_fichas,n_mujeres,n_hombres,edad_prom,estados,ceremonia_principal,ceremonias_resumen,prenda_principal,prendas_resumen,n_aprendio_madre,n_aprendio_abuela,n_aprendio_tia,n_aprendio_hermana,n_aprendio_cunada,n_aprendio_instructor,n_aprendio_otro,n_aprendio_padre,n_no_ha_ensenado,n_ens_hijas,n_ens_nietos,n_ens_sobrinos,n_ens_pareja,n_ens_estudiantes,n_ens_otra,n_ens_hijos,n_man_mano,n_man_pedal,n_man_telar,n_man_mixta,n_man_otra,n_tenido_plantas,n_tenido_minerales,n_tenido_animales,n_tenido_otro
Afelpado,1,0,1,59,Oaxaca,NA,NA,Mural,Mural (1),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Animalitos de lana,1,1,0,35,Chiapas,NA,NA,Jugueterías tradicionales,Jugueterías tradicionales (1),0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Anudado,1,1,0,67,México,Eventos funerarios y sociales,Eventos funerarios y sociales (1),Rebozo de algodon,Rebozo de algodon (1); Y en decilado (1),1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Anudado, punta anudada o empuntado",3,2,1,45,"Chiapas, México",Misa,Misa (2); Bodas (1); Se utiliza para decorar las casas (1); Uso diario (1),Rebozo,"Rebozo (2); Mañanitas o ponchitos (1); Rebozo ratón (1); Se utiliza para decorar la casa, con un diseño tradicional y colores tradicionales (1)",3,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,0,1,0,0,2,0,0,0
Apliqué,1,1,0,37,Chihuahua,Se utiliza a diario,Se utiliza a diario (1); Se utillza a diario (1),Traje tradicional de hombre,Traje tradicional de hombre (1); Traje tradicional de mijere8 (1),1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Baimkal,1,1,0,56,Durango,"Se usan las prendas siempre, no hay ceremonia especial","Se usan las prendas siempre, no hay ceremonia especial (1)",Cotún o blusa,Cotún o blusa (1); Delantal (1); Falda (1),1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
Batzikop tzotsil,1,1,0,36,Chiapas,Ropa tradicionales en municipio,Ropa tradicionales en municipio (1),Huipiles tradicionales cuando tiene cargo,Huipiles tradicionales cuando tiene cargo (1),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bordado,2,2,0,43,"Michoacán De Ocampo, Veracruz De Ignacio De La Llave",Evento,Evento (1); Eventos (1),Huipiles Trajes tradicionales Accesorios como aretes,Huipiles Trajes tradicionales Accesorios como aretes (1); Para venta (1),1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1
Bordado a mano con aguja chica,1,1,0,52,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bordado a mano con puntada lineal continua,1,1,0,85,Oaxaca,En eventos especiales,En eventos especiales (1),Blusa tradicional,Blusa tradicional (1); Blusas estilizadas (1); Camisas estilizadas (1); Camisas tradicionales (1); Centro de mesa (1); Guayaberas (1); Manteles (1); Rebozos (1); Vestido tradicional (1); Vestidos estilizados (1),0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
